"district","year","implant_women_old","implant_women_new","injection2_women_old","injection2_women_new","injection3_women_old","injection3_women_new","pill_women_old","pill_women_new","iud_women_old","iud_women_new","iud_number_dispensed","implant_number_dispensed","injection2_number_dispensed","injection3_number_dispensed","pill_number_dispensed","iud_number_received","implant_number_received","injection2_number_received","injection3_number_received","pill_number_received","iud_stock_end","implant_stock_end","injection2_stock_end","injection3_stock_end","pill_stock_end"
"ABENGOUROU",2018,3298,965,2997,749,10892,2609,1867,425,117,15,26,823,3681,7082,6893,673,2435,8799,12890,35961,,3167,,16041,48097
"ABENGOUROU",2017,2597,698,2125,588,9939,2480,1835,400,34,22,15,483,2894,6460,6339,544,1760,9920,12727,31260,,2617,,16403,41079
"ABENGOUROU",2016,865,408,2616,786,8407,2440,2675,439,20,24,19,438,3167,5394,5982,436,1503,11407,12666,28256,,1671,,8561,20878
"ABOBO EST",2018,4041,2234,2200,583,13504,3940,2959,673,383,180,155,2372,878,9512,5234,1154,3309,2241,9914,7426,,3092,,9359,9046
"ABOBO EST",2017,1954,2491,1768,214,10745,2389,3506,679,147,259,258,3066,1805,8939,6957,2780,4009,5846,11784,13191,,2596,,6359,11711
"ABOBO EST",2016,760,617,1989,348,8784,2008,3220,732,101,169,147,673,2056,12027,6919,2617,1124,4097,8381,15609,,,,,
"ABOBO OUEST",2018,1806,1568,8288,201,6586,1020,6923,326,803,142,908,1929,8318,5179,8922,3117,3269,28769,11085,46937,,2591,,9269,55790
"ABOBO OUEST",2017,2518,1635,6797,870,13464,1764,9350,1369,2722,536,1090,2085,5025,8996,12141,3342,5271,27150,28394,35613,,4330,,21156,93546
"ABOBO OUEST",2016,2435,1257,6623,626,9730,1324,9362,603,2497,889,1243,2427,7531,8520,13037,2934,9514,50103,42308,68118,,2875,,13670,28693
"ABOISSO",2018,1810,675,933,260,6997,1791,1606,304,27,5,21,663,963,3657,6091,45,1626,1538,4211,5638,,1921,,3918,5336
"ABOISSO",2017,399,461,1295,218,5972,1591,1629,341,135,15,25,458,1212,3280,3144,38,1195,2087,3991,7389,,1123,,2050,7225
"ABOISSO",2016,852,303,3104,345,6517,1502,2940,411,18,1,6,191,1661,2758,5783,135,578,3708,3630,38066,,,,,
"ADIAKE",2018,11,74,822,118,1710,359,339,58,,1,,55,753,1623,753,,135,1676,1490,1325,,80,,891,1071
"ADIAKE",2017,30,46,765,99,1674,667,282,60,1,2,,53,836,973,640,200,139,1827,1179,1464,,72,,635,785
"ADIAKE",2016,,25,701,149,1463,590,477,95,,14,52,74,1673,766,992,55,26,2041,959,2237,,,,,
"ADJAME-PLATEAU-ATTECOUBE",2018,5682,1586,3720,481,13913,1956,5286,630,444,98,527,2744,3787,9465,24048,707,6251,17291,20721,35675,,7474,,13930,33394
"ADJAME-PLATEAU-ATTECOUBE",2017,1891,1356,2681,279,8263,1458,3983,408,199,100,280,2226,3201,8830,10680,1050,5053,16800,20833,50076,,3829,,16098,47089
"ADJAME-PLATEAU-ATTECOUBE",2016,1382,515,3058,382,8387,1042,4386,358,345,71,264,829,3532,6895,11042,1424,3423,10913,20797,34111,,353,,1392,3229
"ADZOPE",2018,97,752,1469,220,3072,840,652,210,51,219,191,822,1937,3712,2213,213,1368,2162,5549,6892,,1610,,4711,9113
"ADZOPE",2017,23,344,1346,177,2702,806,555,177,13,15,17,304,1583,3054,2200,49,1030,2994,4510,5324,,979,,2884,5709
"ADZOPE",2016,7,182,1825,351,2316,763,632,309,9,13,19,407,2140,2895,3814,143,723,2955,3874,3782,,,,,
