"district","month","year","implant_women_old","implant_women_new","injection2_women_old","injection2_women_new","injection3_women_old","injection3_women_new","pill_women_old","pill_women_new","iud_women_old","iud_women_new","iud_number_dispensed","implant_number_dispensed","injection2_number_dispensed","injection3_number_dispensed","pill_number_dispensed","iud_number_received","implant_number_received","injection2_number_received","injection3_number_received","pill_number_received","iud_stock_end","implant_stock_end","injection2_stock_end","injection3_stock_end","pill_stock_end"
"ABENGOUROU",1,2019,478,91,103,17,1278,296,195,34,,,,75,44,1082,2542,,319,33,1244,2846,,422,,1501,3466
"ABENGOUROU",2,2019,340,81,126,10,1237,253,187,19,9,1,1,66,38,813,557,20,255,17,1174,2608,,394,,1535,3327
"ABENGOUROU",3,2019,367,59,14,7,1300,224,147,26,,5,5,47,42,819,665,50,214,50,1050,2148,,340,,1187,3636
"ABENGOUROU",4,2019,583,46,6,1,1296,336,200,35,,3,1,36,66,874,404,45,217,55,824,1787,,340,,889,2727
"ABENGOUROU",5,2019,407,60,46,20,1356,281,156,24,,1,1,71,47,813,545,14,321,256,1032,1635,,355,,604,1668
"ABENGOUROU",6,2019,344,53,75,26,1467,204,163,27,,3,3,64,85,827,630,13,240,397,914,1536,,54,,648,2583
"ABENGOUROU",7,2019,468,56,51,26,1454,201,184,22,,,,39,187,766,417,70,417,881,1869,2867,,326,,1862,4758
"ABENGOUROU",8,2019,590,61,59,22,1360,197,186,16,1,2,2,37,164,884,570,20,318,725,1219,2077,,514,,1337,3910
"ABENGOUROU",9,2019,532,57,43,23,1575,194,176,19,1,,1,51,202,787,557,18,241,507,1120,2688,,510,,1207,4740
"ABOBO EST",1,2019,1061,155,140,7,1483,334,369,48,311,10,13,73,12,717,327,55,199,40,858,553,,189,,501,311
"ABOBO EST",2,2019,914,130,121,3,1447,308,239,31,91,10,12,66,,595,304,50,332,18,918,623,,299,,475,601
"ABOBO EST",3,2019,1007,220,43,45,1520,377,177,34,97,22,23,195,,818,324,69,200,,1012,386,,334,,584,522
"ABOBO EST",4,2019,924,106,177,20,1074,107,183,26,103,1,4,98,18,537,330,46,148,60,566,330,,264,,347,516
"ABOBO EST",5,2019,962,114,131,12,1294,130,253,31,102,9,4,123,16,804,227,25,230,238,817,266,,255,,418,143
"ABOBO EST",6,2019,1043,187,186,18,1020,126,188,38,103,5,3,145,31,353,143,42,249,72,470,260,,81,,242,201
"ABOBO EST",7,2019,233,96,120,12,1035,127,254,28,6,7,10,193,76,668,353,55,192,66,727,374,,200,,295,209
"ABOBO EST",8,2019,148,102,82,10,980,191,218,28,6,6,3,177,28,619,307,39,240,103,898,322,,266,,504,149
"ABOBO EST",9,2019,246,183,129,15,1218,278,196,56,16,13,12,252,34,706,270,45,221,113,635,440,,278,,398,274
"ABOBO OUEST",1,2019,94,97,4,,1150,103,242,17,61,13,75,154,2,1074,398,199,317,10,3529,3588,,223,,2721,6458
"ABOBO OUEST",2,2019,131,74,1,,911,104,388,20,67,18,72,143,1,757,1435,128,197,10,2594,3302,,106,,2093,4868
"ABOBO OUEST",3,2019,143,90,5,1,935,68,197,19,48,6,50,226,5,925,481,76,531,13,4934,2162,,308,,4274,4008
"ABOBO OUEST",4,2019,163,189,26,1,1019,131,204,12,49,10,53,329,27,1090,635,336,789,1500,4432,1721,,498,,3413,3979
"ABOBO OUEST",5,2019,121,102,36,7,1046,115,251,18,59,9,68,206,125,953,1035,268,516,1621,3401,1223,,358,,2532,1199
"ABOBO OUEST",6,2019,107,45,159,12,858,65,232,12,50,6,56,143,171,796,576,240,440,1360,2528,4286,,324,,1768,3736
"ABOBO OUEST",7,2019,99,49,171,10,950,55,217,18,162,6,78,180,225,767,959,171,293,1189,1903,3702,,145,,1172,5124
"ABOBO OUEST",8,2019,135,79,231,31,869,66,282,20,69,22,119,202,262,754,789,172,448,927,2902,2601,,278,,2181,4798
