"year","month","region","district","site_code","product_code","stock_initial","stock_received","stock_distributed","stock_adjustment","stock_end","average_monthly_consumption","stock_stockout_days","stock_ordered"
2019,1,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27134",75,0,21,-54,0,18,0,100
2019,1,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27132",3,0,3,0,0,2,0,10
2019,1,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27000",0,75,22,0,53,9,0,0
2019,1,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27137",2,0,0,0,2,0,0,0
2019,1,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27138",45,0,2,0,43,1,0,0
2019,1,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27133",50,50,19,0,81,6,0,0
2019,1,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27000",40,0,0,0,40,10,0,0
2019,1,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27133",150,0,29,0,121,51,0,0
2019,2,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27134",0,0,0,0,0,18,0,100
2019,2,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27132",0,0,0,0,0,2,0,10
2019,2,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27000",53,0,23,0,30,15,0,15
2019,2,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27137",2,0,0,0,2,0,0,0
2019,2,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27138",43,0,3,0,40,2,0,0
2019,2,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27133",81,0,42,0,39,20,0,50
2019,2,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27000",40,0,20,0,20,10,0,30
2019,2,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27133",121,0,21,0,100,33,0,50
2019,3,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27134",0,100,0,0,100,7,0,0
2019,3,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27132",0,0,0,0,0,1,0,5
2019,3,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27000",30,15,10,0,35,18,0,0
2019,3,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27137",2,0,0,0,2,0,0,0
2019,3,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27138",40,0,9,0,31,5,0,0
2019,3,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27133",39,50,26,0,63,29,0,25
2019,3,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27000",20,30,20,0,30,13,0,10
2019,3,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27133",100,50,50,0,100,33,0,0
2019,4,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS21126",0,0,0,0,0,0,0,0
2019,4,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27134",100,0,2,0,98,1,0,0
2019,4,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27132",0,5,0,0,5,0,0,5
2019,4,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27000",35,0,7,0,28,13,0,10
2019,4,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27137",2,0,1,18,19,0,0,0
2019,4,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27138",31,0,7,0,24,6,0,0
2019,4,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27133",63,25,63,0,25,44,0,75
2019,4,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS21126",0,0,0,0,0,0,0,0
2019,4,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27000",30,10,20,0,20,20,0,40
2019,4,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27133",100,0,50,0,50,40,0,70
2019,5,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS21126",0,0,0,0,0,0,0,0
2019,5,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27134",98,0,31,0,67,11,0,0
2019,5,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27132",5,0,1,0,4,0,0,0
2019,5,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27000",28,0,9,0,19,9,0,0
2019,5,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27137",19,0,1,0,18,1,0,0
2019,5,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27138",24,0,7,0,17,8,0,5
2019,5,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27133",25,0,25,0,0,38,0,50
2019,5,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27000",20,0,10,0,10,17,0,40
2019,5,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27133",50,0,25,0,25,42,0,100
2019,6,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS21126",0,0,0,0,0,0,0,0
2019,6,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27134",67,0,11,0,56,15,0,0
2019,6,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27132",4,5,0,0,9,0,0,0
2019,6,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27000",19,10,8,0,21,8,0,0
2019,6,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27137",18,0,0,0,18,1,0,0
2019,6,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27138",17,0,1,0,16,5,0,0
2019,6,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27133",0,75,12,0,63,33,0,50
2019,6,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27000",10,40,20,0,30,17,0,20
2019,6,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27133",25,75,50,0,50,42,0,75
2019,7,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS21126",0,0,0,0,0,0,0,0
2019,7,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27134",56,0,13,0,43,18,0,100
2019,7,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27132",9,0,0,0,9,0,0,0
2019,7,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27000",21,0,6,0,15,8,0,0
2019,7,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27137",18,0,0,0,18,0,0,0
2019,7,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27138",16,5,11,0,10,6,0,8
2019,7,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27133",63,50,88,0,25,42,0,100
2019,7,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27000",30,20,20,0,30,17,0,20
2019,7,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27133",50,75,50,0,75,42,0,50
2019,8,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27000",30,0,0,0,30,13,0,0
2019,8,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27133",75,0,50,0,25,50,0,100
2019,8,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS21126",0,0,0,0,0,0,0,0
2019,8,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27134",43,100,7,0,136,10,0,0
2019,8,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27132",9,0,0,0,9,0,0,0
2019,8,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27000",15,0,5,0,10,6,0,8
2019,8,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27137",18,0,2,0,16,1,0,0
2019,8,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27138",10,8,0,2,20,4,0,0
2019,8,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27133",25,100,25,0,100,42,0,0
2019,9,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27134",136,0,9,0,127,10,0,0
2019,9,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27132",9,0,0,0,9,0,0,0
2019,9,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27000",10,0,10,0,0,7,0,15
2019,9,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27137",16,0,3,0,13,2,0,0
2019,9,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27138",20,0,5,0,15,5,0,0
2019,9,"INDENIE-DJUABLIN","ABENGOUROU","C4001","AS27133",100,0,0,0,100,38,0,0
2019,9,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27000",30,0,20,10,20,13,0,0
2019,9,"INDENIE-DJUABLIN","ABENGOUROU","C4023","AS27133",25,0,75,75,25,58,0,100
2019,1,"ABIDJAN 2","ABOBO-EST","C1066","AS27134",125,0,32,0,93,32,0,0
2019,1,"ABIDJAN 2","ABOBO-EST","C1066","AS27132",0,0,0,0,0,3,0,10
2019,1,"ABIDJAN 2","ABOBO-EST","C1066","AS27000",142,0,39,0,103,26,0,0
2019,1,"ABIDJAN 2","ABOBO-EST","C1066","AS27137",0,0,0,0,0,0,0,50
2019,1,"ABIDJAN 2","ABOBO-EST","C1066","AS27138",30,0,0,0,30,0,0,72
2019,1,"ABIDJAN 2","ABOBO-EST","C1066","AS27133",80,0,12,0,68,10,0,0
2019,1,"ABIDJAN 2","ABOBO-EST","C1010","AS27134",0,0,0,0,0,4,0,100
2019,1,"ABIDJAN 2","ABOBO-EST","C1010","AS27132",16,0,5,0,11,5,0,20
2019,1,"ABIDJAN 2","ABOBO-EST","C1010","AS27000",0,0,0,0,0,4,0,50
2019,1,"ABIDJAN 2","ABOBO-EST","C1010","AS27137",0,0,0,0,0,4,0,50
2019,1,"ABIDJAN 2","ABOBO-EST","C1010","AS27138",0,0,0,0,0,2,0,20
2019,1,"ABIDJAN 2","ABOBO-EST","C1010","AS27133",31,0,31,0,0,34,0,150
2019,1,"ABIDJAN 2","ABOBO-EST","C1026","AS27134",0,0,0,0,0,10,0,100
2019,1,"ABIDJAN 2","ABOBO-EST","C1026","AS27132",33,0,21,0,12,9,0,5
2019,1,"ABIDJAN 2","ABOBO-EST","C1026","AS27000",238,0,68,0,170,72,0,15
2019,1,"ABIDJAN 2","ABOBO-EST","C1026","AS27137",45,0,35,0,10,23,0,60
2019,1,"ABIDJAN 2","ABOBO-EST","C1026","AS27138",145,0,70,0,75,25,0,0
2019,1,"ABIDJAN 2","ABOBO-EST","C1026","AS27133",112,0,4,0,108,5,0,0
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS42018",0,0,0,0,0,0,0,0
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS21126",0,0,0,0,0,0,0,0
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS46000",0,0,0,0,0,0,0,0
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS17005",0,0,0,0,0,0,0,0
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS27134",0,0,0,0,0,0,0,100
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS27132",0,0,0,0,0,0,0,10
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS27000",0,0,0,0,0,0,0,30
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS27139",0,0,0,0,0,0,0,5
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS27137",0,0,0,0,0,0,0,10
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS27138",0,0,0,0,0,0,0,10
2019,1,"ABIDJAN 2","ABOBO-EST","C1063","AS27133",0,0,0,0,0,0,0,150
2019,1,"ABIDJAN 2","ABOBO-EST","C1011","AS21126",0,0,0,0,0,0,0,10
2019,1,"ABIDJAN 2","ABOBO-EST","C1011","AS46000",100,0,0,0,100,0,0,0
2019,1,"ABIDJAN 2","ABOBO-EST","C1011","AS27134",0,0,0,0,0,0,0,100
2019,1,"ABIDJAN 2","ABOBO-EST","C1011","AS27132",2,0,2,0,0,3,0,15
