product_code,product_type,product_name
AS17005,Female Condom,PRESERVATIF FEMININ UNITE 
AS46000,Male Condom,PRESERVATIF MASCULIN BTE/144 BOITE 
AS27139,Emergency Contraceptive (Pill),LEVONORGESTREL 1.5 MG CP BOITE 
AS27137,Contraceptive Implant,JADELLE (IMPLANT + TROCARD) 150 µG BTE/10 BOITE 
AS27138,Contraceptive Implant,IMPLANON IMPLANT 68 MG BTE/1 BOITE 
AS21126,Injectable Contraceptive,MEDROXYPROGESTERONE 104MG/0.65ML INJ UNITE (SAYANA PRESS) UNITE  
AS27133,Injectable Contraceptive,DEPO PROVERA/PETOGEN 150 MG / 3ML INJ BTE/25 BOITE 
AS27134,Injectable Contraceptive,NORISTERAT 200 MG AMP INJ BTE/100 BOITE 
AS42018,Intrauterine Device (IUD),COPPER TCU 380 A (CUIVRE) UNITE 
AS27000,Oral Contraceptive (Pill),MICROGYNON 0.03/0.15 MG BTE / 3 CYCLES BOITE 
AS27132,Oral Contraceptive (Pill),MICROLUT 0.03 MG BTE / 3 CYCLES BOITE 
