,site_code,product_code,date,year,month,stock_distributed,region,district
0,C1004,AS21126,2019-04-01,2019,4,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
1,C1004,AS21126,2019-05-01,2019,5,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
2,C1004,AS21126,2019-06-01,2019,6,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
3,C1004,AS21126,2019-07-01,2019,7,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
4,C1004,AS21126,2019-08-01,2019,8,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
5,C1004,AS21126,2019-09-01,2019,9,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
6,C1004,AS27000,2016-07-01,2016,7,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
7,C1004,AS27000,2016-08-01,2016,8,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
8,C1004,AS27000,2016-09-01,2016,9,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
9,C1004,AS27000,2016-10-01,2016,10,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
10,C1004,AS27000,2016-11-01,2016,11,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
11,C1004,AS27000,2016-12-01,2016,12,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
12,C1004,AS27000,2017-01-01,2017,1,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
13,C1004,AS27000,2017-02-01,2017,2,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
14,C1004,AS27000,2017-03-01,2017,3,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
15,C1004,AS27000,2017-04-01,2017,4,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
16,C1004,AS27000,2017-05-01,2017,5,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
17,C1004,AS27000,2017-06-01,2017,6,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
18,C1004,AS27000,2017-07-01,2017,7,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
19,C1004,AS27000,2017-08-01,2017,8,7.0,AGNEBY-TIASSA-ME,AGBOVILLE
20,C1004,AS27000,2017-09-01,2017,9,44.0,AGNEBY-TIASSA-ME,AGBOVILLE
21,C1004,AS27000,2017-10-01,2017,10,13.0,AGNEBY-TIASSA-ME,AGBOVILLE
22,C1004,AS27000,2017-11-01,2017,11,16.0,AGNEBY-TIASSA-ME,AGBOVILLE
23,C1004,AS27000,2017-12-01,2017,12,32.0,AGNEBY-TIASSA-ME,AGBOVILLE
24,C1004,AS27000,2018-01-01,2018,1,30.0,AGNEBY-TIASSA-ME,AGBOVILLE
25,C1004,AS27000,2018-02-01,2018,2,34.0,AGNEBY-TIASSA-ME,AGBOVILLE
26,C1004,AS27000,2018-03-01,2018,3,5.0,AGNEBY-TIASSA-ME,AGBOVILLE
27,C1004,AS27000,2018-04-01,2018,4,61.0,AGNEBY-TIASSA-ME,AGBOVILLE
28,C1004,AS27000,2018-05-01,2018,5,22.0,AGNEBY-TIASSA-ME,AGBOVILLE
29,C1004,AS27000,2018-06-01,2018,6,26.0,AGNEBY-TIASSA-ME,AGBOVILLE
30,C1004,AS27000,2018-07-01,2018,7,61.0,AGNEBY-TIASSA-ME,AGBOVILLE
31,C1004,AS27000,2018-08-01,2018,8,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
32,C1004,AS27000,2018-09-01,2018,9,40.0,AGNEBY-TIASSA-ME,AGBOVILLE
33,C1004,AS27000,2018-10-01,2018,10,55.0,AGNEBY-TIASSA-ME,AGBOVILLE
34,C1004,AS27000,2018-11-01,2018,11,17.0,AGNEBY-TIASSA-ME,AGBOVILLE
35,C1004,AS27000,2018-12-01,2018,12,60.0,AGNEBY-TIASSA-ME,AGBOVILLE
36,C1004,AS27000,2019-01-01,2019,1,13.0,AGNEBY-TIASSA-ME,AGBOVILLE
37,C1004,AS27000,2019-02-01,2019,2,19.0,AGNEBY-TIASSA-ME,AGBOVILLE
38,C1004,AS27000,2019-03-01,2019,3,19.0,AGNEBY-TIASSA-ME,AGBOVILLE
39,C1004,AS27000,2019-04-01,2019,4,43.0,AGNEBY-TIASSA-ME,AGBOVILLE
40,C1004,AS27000,2019-05-01,2019,5,30.0,AGNEBY-TIASSA-ME,AGBOVILLE
41,C1004,AS27000,2019-06-01,2019,6,21.0,AGNEBY-TIASSA-ME,AGBOVILLE
42,C1004,AS27000,2019-07-01,2019,7,10.0,AGNEBY-TIASSA-ME,AGBOVILLE
43,C1004,AS27000,2019-08-01,2019,8,69.0,AGNEBY-TIASSA-ME,AGBOVILLE
44,C1004,AS27000,2019-09-01,2019,9,34.0,AGNEBY-TIASSA-ME,AGBOVILLE
45,C1004,AS27132,2017-07-01,2017,7,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
46,C1004,AS27132,2017-08-01,2017,8,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
47,C1004,AS27132,2017-09-01,2017,9,10.0,AGNEBY-TIASSA-ME,AGBOVILLE
48,C1004,AS27132,2017-10-01,2017,10,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
49,C1004,AS27132,2017-11-01,2017,11,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
50,C1004,AS27132,2017-12-01,2017,12,2.0,AGNEBY-TIASSA-ME,AGBOVILLE
51,C1004,AS27132,2018-01-01,2018,1,8.0,AGNEBY-TIASSA-ME,AGBOVILLE
52,C1004,AS27132,2018-02-01,2018,2,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
53,C1004,AS27132,2018-03-01,2018,3,3.0,AGNEBY-TIASSA-ME,AGBOVILLE
54,C1004,AS27132,2018-04-01,2018,4,2.0,AGNEBY-TIASSA-ME,AGBOVILLE
55,C1004,AS27132,2018-05-01,2018,5,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
56,C1004,AS27132,2018-06-01,2018,6,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
57,C1004,AS27132,2018-07-01,2018,7,6.0,AGNEBY-TIASSA-ME,AGBOVILLE
58,C1004,AS27132,2018-08-01,2018,8,7.0,AGNEBY-TIASSA-ME,AGBOVILLE
59,C1004,AS27132,2018-09-01,2018,9,0.0,AGNEBY-TIASSA-ME,AGBOVILLE
