,date,region,site_code,product_code,pred_share_regionlev,agg_level
14324,2016-01-01,AGNEBY-TIASSA-ME,C1098,AS27137,0.10116284490920166,region
26460,2016-01-01,BELIER,C2068,AS46000,0.1194415631751429,region
11574,2016-01-01,SUD-COMOE,C1087,AS27000,0.29150444543561327,region
34391,2016-01-01,BOUNKANI-GONTOUGO,C4018,AS27139,0.08345087667744147,region
32742,2016-01-01,BOUNKANI-GONTOUGO,C4002,AS27132,0.1840912545203854,region
11619,2016-01-01,SUD-COMOE,C1087,AS27132,0.07227641271800792,region
14144,2016-01-01,AGNEBY-TIASSA-ME,C1098,AS27000,0.10116284490920166,region
38256,2016-01-01,KABADOUGOU-BAFING-FOLON,C5003,AS27137,0.571870985116354,region
23030,2016-01-01,HAUT-SASSANDRA,C2056,AS17005,0.23529411764705882,region
25965,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2066,AS27138,0.10116284490920166,region
11709,2016-01-01,SUD-COMOE,C1087,AS27134,0.10057013022094526,region
14101,2016-01-01,AGNEBY-TIASSA-ME,C1098,AS17005,0.07939076669544218,region
29213,2016-01-01,HAMBOL,C3011,AS27138,0.10624348505242291,region
37225,2016-01-01,N'ZI-IFOU-MORONOU,C4054,AS46000,0.13531871387679023,region
23077,2016-01-01,HAUT-SASSANDRA,C2056,AS27000,0.7470206360386918,region
11664,2016-01-01,SUD-COMOE,C1087,AS27133,0.0675917133897795,region
11523,2016-01-01,SUD-COMOE,C1087,AS17005,0.0,region
24647,2016-01-01,GBEKE,C2062,AS27138,0.09411764705882353,region
14189,2016-01-01,AGNEBY-TIASSA-ME,C1098,AS27132,0.10116284490920166,region
34532,2016-01-01,N'ZI-IFOU-MORONOU,C4019,AS27132,0.10116284490920166,region
11350,2016-01-01,ABIDJAN 2,C1086,AS27133,0.08880721255201811,region
27594,2016-01-01,PORO-TCHOLOGO-BAGOUE,C2127,AS27134,0.10116284490920166,region
38301,2016-01-01,KABADOUGOU-BAFING-FOLON,C5003,AS27138,0.180718636680741,region
24692,2016-01-01,GBEKE,C2062,AS27139,0.00023098633900320515,region
32787,2016-01-01,BOUNKANI-GONTOUGO,C4002,AS27133,0.35101716677368594,region
11395,2016-01-01,ABIDJAN 2,C1086,AS27134,0.08880721255201811,region
33631,2016-01-01,N'ZI-IFOU-MORONOU,C4016,AS27133,0.10116284490920166,region
14234,2016-01-01,AGNEBY-TIASSA-ME,C1098,AS27133,0.10116284490920166,region
11478,2016-01-01,ABIDJAN 2,C1086,AS27138,0.08880721255201811,region
31657,2016-01-01,HAMBOL,C3022,AS27132,0.09120228332620042,region
3383,2016-01-01,ABIDJAN 2,C1026,AS27134,0.03879040366151262,region
26466,2016-01-01,BELIER,C2069,AS27000,0.7549274940458863,region
1343,2016-01-01,ABIDJAN 2,C1011,AS27000,0.013164458079369687,region
27639,2016-01-01,PORO-TCHOLOGO-BAGOUE,C2127,AS27137,0.10116284490920166,region
23122,2016-01-01,HAUT-SASSANDRA,C2056,AS27132,0.6440677966101696,region
31612,2016-01-01,HAMBOL,C3022,AS27000,0.09120228332620042,region
11754,2016-01-01,SUD-COMOE,C1087,AS27137,0.021696266607135552,region
24602,2016-01-01,GBEKE,C2062,AS27137,0.02222222222222222,region
6846,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1059,AS27132,0.010127092240673874,region
23212,2016-01-01,HAUT-SASSANDRA,C2056,AS27134,0.16999999999999998,region
